#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 524200      3.04e-01    3.30e-01      8.76e-03    1.05e-02      3.30e-02    3.56e-02    7.6e-05
 524300      3.07e-01    3.16e-01      8.17e-04    1.54e-03      3.50e-02    3.59e-02    7.6e-05
 524400      3.69e-01    3.02e-01      1.77e-03    1.96e-03      4.20e-02    3.43e-02    7.6e-05
 524500      3.82e-01    3.92e-01      1.54e-02    1.40e-02      3.98e-02    4.17e-02    7.6e-05
 524600      3.42e-01    3.62e-01      9.05e-03    9.02e-03      3.76e-02    3.99e-02    7.6e-05
 524700      3.27e-01    3.31e-01      1.56e-03    2.08e-03      3.72e-02    3.77e-02    7.6e-05
 524800      4.01e-01    3.68e-01      2.40e-02    1.91e-02      3.62e-02    3.59e-02    7.6e-05
 524900      3.66e-01    3.35e-01      4.34e-03    3.62e-03      4.14e-02    3.79e-02    7.6e-05
 525000      3.46e-01    3.08e-01      4.75e-03    3.88e-03      3.94e-02    3.52e-02    7.4e-05
 525100      4.30e-01    3.37e-01      1.79e-03    3.51e-03      4.95e-02    3.86e-02    7.4e-05
 525200      3.33e-01    3.41e-01      1.70e-03    1.42e-03      3.83e-02    3.92e-02    7.4e-05
 525300      4.04e-01    3.23e-01      9.50e-03    5.03e-03      4.50e-02    3.68e-02    7.4e-05
 525400      3.59e-01    3.27e-01      1.28e-03    2.44e-03      4.13e-02    3.77e-02    7.4e-05
 525500      2.88e-01    3.26e-01      1.87e-03    2.32e-03      3.31e-02    3.75e-02    7.4e-05
 525600      3.25e-01    3.31e-01      1.55e-03    2.02e-03      3.74e-02    3.81e-02    7.4e-05
 525700      3.34e-01    3.09e-01      5.98e-03    5.52e-03      3.79e-02    3.51e-02    7.4e-05
 525800      2.95e-01    3.11e-01      5.75e-03    5.06e-03      3.34e-02    3.54e-02    7.4e-05
 525900      3.33e-01    2.89e-01      1.14e-03    1.81e-03      3.83e-02    3.33e-02    7.4e-05
 526000      3.66e-01    3.57e-01      7.85e-03    8.35e-03      4.13e-02    4.00e-02    7.4e-05
 526100      3.15e-01    3.53e-01      1.26e-02    1.20e-02      3.34e-02    3.83e-02    7.4e-05
 526200      3.73e-01    3.12e-01      9.92e-03    1.17e-02      4.06e-02    3.34e-02    7.4e-05
 526300      1.06e+00    3.35e-01      1.01e-02    1.03e-02      1.20e-01    3.68e-02    7.4e-05
 526400      3.28e-01    3.11e-01      8.36e-03    8.62e-03      3.66e-02    3.45e-02    7.4e-05
 526500      3.04e-01    2.89e-01      3.61e-03    3.82e-03      3.48e-02    3.30e-02    7.4e-05
 526600      2.81e-01    3.04e-01      3.71e-03    3.00e-03      3.21e-02    3.49e-02    7.4e-05
 526700      3.40e-01    3.05e-01      3.55e-03    2.76e-03      3.89e-02    3.50e-02    7.4e-05
 526800      3.02e-01    2.99e-01      4.67e-03    1.12e-03      3.43e-02    3.45e-02    7.4e-05
 526900      3.84e-01    3.79e-01      1.17e-02    1.73e-02      4.11e-02    3.90e-02    7.4e-05
 527000      2.75e-01    8.21e-01      3.48e-03    1.55e-02      3.12e-02    9.29e-02    7.4e-05
 527100      3.62e-01    3.56e-01      1.83e-02    1.56e-02      3.53e-02    3.70e-02    7.4e-05
 527200      4.43e-01    2.88e-01      8.15e-03    8.42e-04      5.01e-02    3.32e-02    7.4e-05
 527300      4.80e-01    3.44e-01      1.66e-02    1.04e-02      5.19e-02    3.78e-02    7.4e-05
 527400      2.70e-01    2.94e-01      3.40e-03    4.41e-03      3.09e-02    3.35e-02    7.4e-05
 527500      3.07e-01    3.04e-01      4.44e-03    3.99e-03      3.50e-02    3.47e-02    7.4e-05
 527600      3.23e-01    5.81e-01      9.09e-03    1.18e-02      3.56e-02    6.56e-02    7.4e-05
 527700      3.37e-01    2.93e-01      2.25e-03    1.42e-03      3.87e-02    3.37e-02    7.4e-05
 527800      3.16e-01    3.07e-01      1.30e-02    1.30e-02      3.33e-02    3.21e-02    7.4e-05
 527900      3.32e-01    3.23e-01      1.28e-02    1.23e-02      3.51e-02    3.45e-02    7.4e-05
 528000      6.26e-01    6.65e-01      5.39e-02    5.96e-02      3.69e-02    3.53e-02    7.4e-05
 528100      4.34e-01    4.54e-01      1.76e-02    1.76e-02      4.58e-02    4.84e-02    7.4e-05
 528200      3.37e-01    3.43e-01      5.07e-03    6.17e-03      3.84e-02    3.89e-02    7.4e-05
 528300      3.32e-01    3.28e-01      7.80e-03    7.13e-03      3.73e-02    3.69e-02    7.4e-05
 528400      3.78e-01    3.17e-01      9.38e-04    1.20e-03      4.36e-02    3.66e-02    7.4e-05
 528500      2.98e-01    3.10e-01      2.25e-03    1.56e-03      3.42e-02    3.56e-02    7.4e-05
 528600      3.00e-01    3.08e-01      1.50e-03    1.60e-03      3.45e-02    3.55e-02    7.4e-05
 528700      2.66e-01    3.10e-01      4.93e-03    5.29e-03      3.02e-02    3.53e-02    7.4e-05
 528800      3.25e-01    3.15e-01      3.91e-03    3.84e-03      3.71e-02    3.60e-02    7.4e-05
 528900      2.69e-01    3.01e-01      2.43e-03    2.83e-03      3.09e-02    3.46e-02    7.4e-05
 529000      2.84e-01    3.05e-01      1.82e-03    2.17e-03      3.27e-02    3.50e-02    7.4e-05
 529100      3.71e-01    3.06e-01      2.68e-03    1.10e-03      4.27e-02    3.53e-02    7.4e-05
 529200      2.89e-01    2.83e-01      5.28e-03    4.15e-03      3.27e-02    3.22e-02    7.4e-05
 529300      3.67e-01    3.88e-01      7.51e-03    4.39e-03      4.12e-02    4.45e-02    7.4e-05
 529400      3.28e-01    3.14e-01      6.16e-03    6.33e-03      3.71e-02    3.55e-02    7.4e-05
 529500      4.81e-01    3.27e-01      3.70e-03    1.54e-03      5.53e-02    3.77e-02    7.4e-05
 529600      3.84e-01    3.45e-01      1.38e-02    1.34e-02      4.11e-02    3.67e-02    7.4e-05
 529700      3.19e-01    3.19e-01      1.01e-03    1.41e-03      3.67e-02    3.67e-02    7.4e-05
 529800      3.50e-01    3.85e-01      8.63e-03    9.53e-03      3.92e-02    4.30e-02    7.4e-05
 529900      3.25e-01    3.46e-01      1.05e-02    1.06e-02      3.54e-02    3.80e-02    7.4e-05
 530000      3.16e-01    3.02e-01      1.43e-03    2.04e-03      3.69e-02    3.52e-02    7.2e-05
 530100      2.76e-01    3.50e-01      5.62e-04    1.98e-03      3.22e-02    4.08e-02    7.2e-05
 530200      3.40e-01    2.86e-01      4.87e-04    9.55e-04      3.97e-02    3.34e-02    7.2e-05
 530300      3.46e-01    3.15e-01      2.50e-04    1.24e-03      4.03e-02    3.67e-02    7.2e-05
 530400      3.27e-01    3.20e-01      2.61e-03    2.37e-03      3.79e-02    3.73e-02    7.2e-05
 530500      2.94e-01    3.26e-01      2.81e-03    2.65e-03      3.41e-02    3.79e-02    7.2e-05
 530600      2.72e-01    3.20e-01      1.54e-03    1.30e-03      3.17e-02    3.74e-02    7.2e-05
 530700      2.97e-01    3.03e-01      8.91e-04    1.73e-03      3.47e-02    3.53e-02    7.2e-05
 530800      2.88e-01    3.02e-01      2.69e-03    2.68e-03      3.35e-02    3.51e-02    7.2e-05
 530900      3.13e-01    3.05e-01      2.24e-03    1.96e-03      3.63e-02    3.55e-02    7.2e-05
 531000      3.32e-01    3.56e-01      2.75e-03    3.25e-03      3.86e-02    4.13e-02    7.2e-05
 531100      2.54e-01    3.04e-01      7.22e-04    1.05e-03      2.97e-02    3.54e-02    7.2e-05
 531200      2.75e-01    3.05e-01      5.72e-03    5.45e-03      3.13e-02    3.51e-02    7.2e-05
 531300      2.98e-01    2.93e-01      7.82e-04    1.50e-03      3.48e-02    3.41e-02    7.2e-05
 531400      2.96e-01    2.82e-01      5.05e-04    6.88e-04      3.45e-02    3.29e-02    7.2e-05
 531500      7.57e-01    2.82e-01      4.80e-03    5.45e-04      8.81e-02    3.29e-02    7.2e-05
 531600      3.03e-01    8.32e-01      7.04e-03    9.16e-03      3.44e-02    9.66e-02    7.2e-05
 531700      3.03e-01    2.85e-01      3.64e-03    2.49e-03      3.52e-02    3.32e-02    7.2e-05
 531800      3.51e-01    3.17e-01      1.12e-02    1.12e-02      3.89e-02    3.46e-02    7.2e-05
 531900      2.94e-01    3.17e-01      6.15e-03    5.51e-03      3.35e-02    3.64e-02    7.2e-05
 532000      3.52e-01    3.37e-01      3.10e-03    3.10e-03      4.10e-02    3.92e-02    7.2e-05
 532100      3.06e-01    3.39e-01      4.77e-03    1.17e-03      3.53e-02    3.95e-02    7.2e-05
 532200      2.89e-01    3.02e-01      5.81e-03    6.43e-03      3.30e-02    3.44e-02    7.2e-05
 532300      3.44e-01    3.06e-01      3.52e-03    1.17e-03      3.98e-02    3.57e-02    7.2e-05
 532400      3.29e-01    3.10e-01      4.15e-03    1.21e-03      3.81e-02    3.62e-02    7.2e-05
 532500      2.95e-01    3.25e-01      9.96e-04    9.74e-04      3.44e-02    3.80e-02    7.2e-05
 532600      4.63e-01    4.53e-01      2.42e-02    1.69e-02      4.63e-02    4.91e-02    7.2e-05
 532700      4.03e-01    3.29e-01      6.73e-03    6.03e-03      4.64e-02    3.78e-02    7.2e-05
 532800      4.13e-01    4.18e-01      2.78e-03    4.40e-03      4.80e-02    4.86e-02    7.2e-05
 532900      3.37e-01    3.30e-01      5.58e-03    7.81e-03      3.86e-02    3.74e-02    7.2e-05
 533000      3.73e-01    4.25e-01      1.89e-02    1.33e-02      3.75e-02    4.73e-02    7.2e-05
 533100      3.00e-01    3.58e-01      1.20e-02    2.02e-02      3.20e-02    3.50e-02    7.2e-05
 533200      4.14e-01    4.43e-01      2.47e-02    2.60e-02      3.89e-02    4.20e-02    7.2e-05
 533300      3.43e-01    3.22e-01      5.16e-03    2.38e-03      3.91e-02    3.75e-02    7.2e-05
 533400      2.97e-01    3.02e-01      6.25e-03    2.36e-03      3.36e-02    3.52e-02    7.2e-05
 533500      3.34e-01    3.10e-01      1.01e-02    6.49e-03      3.66e-02    3.55e-02    7.2e-05
 533600      3.17e-01    2.93e-01      2.18e-03    2.48e-03      3.70e-02    3.41e-02    7.2e-05
 533700      8.67e-01    3.25e+00      2.07e-02    2.18e-02      9.59e-02    3.79e-01    7.2e-05
 533800      2.88e-01    3.15e-01      1.07e-03    1.64e-03      3.36e-02    3.68e-02    7.2e-05
 533900      3.12e-01    3.08e-01      7.37e-03    8.31e-03      3.54e-02    3.46e-02    7.2e-05
 534000      4.28e-01    6.44e-01      5.04e-03    7.00e-03      4.95e-02    7.47e-02    7.2e-05
 534100      3.00e-01    3.29e-01      6.20e-03    6.50e-03      3.43e-02    3.77e-02    7.2e-05
 534200      3.35e-01    7.62e-01      1.10e-02    9.42e-03      3.70e-02    8.83e-02    7.2e-05
 534300      3.12e-01    2.90e-01      2.15e-03    3.13e-03      3.63e-02    3.37e-02    7.2e-05
 534400      3.40e-01    2.97e-01      5.46e-03    4.94e-03      3.92e-02    3.42e-02    7.2e-05
 534500      7.04e-01    6.72e-01      5.05e-02    4.76e-02      5.78e-02    5.57e-02    7.2e-05
 534600      3.80e-01    4.28e-01      2.24e-02    1.37e-02      3.59e-02    4.75e-02    7.2e-05
 534700      3.26e-01    3.58e-01      1.75e-02    1.90e-02      3.21e-02    3.56e-02    7.2e-05
 534800      2.65e-01    2.78e-01      2.27e-03    1.18e-03      3.08e-02    3.25e-02    7.2e-05
 534900      2.70e-01    3.01e-01      1.36e-03    2.01e-03      3.15e-02    3.51e-02    7.2e-05
 535000      2.83e-01    3.13e-01      2.51e-03    3.09e-03      3.33e-02    3.68e-02    7.1e-05
 535100      2.84e-01    3.00e-01      3.75e-03    4.42e-03      3.32e-02    3.51e-02    7.1e-05
 535200      2.93e-01    2.78e-01      2.96e-03    2.75e-03      3.45e-02    3.27e-02    7.1e-05
 535300      3.91e-01    4.70e-01      4.29e-03    4.73e-03      4.58e-02    5.53e-02    7.1e-05
 535400      2.88e-01    3.01e-01      6.72e-03    7.50e-03      3.30e-02    3.44e-02    7.1e-05
 535500      3.37e-01    3.20e-01      8.01e-03    7.70e-03      3.87e-02    3.68e-02    7.1e-05
 535600      2.86e-01    3.23e-01      1.71e-03    2.49e-03      3.37e-02    3.80e-02    7.1e-05
 535700      3.11e-01    3.43e-01      3.74e-03    3.32e-03      3.64e-02    4.04e-02    7.1e-05
 535800      2.63e-01    2.67e-01      5.22e-04    9.46e-04      3.11e-02    3.16e-02    7.1e-05
 535900      3.03e-01    2.84e-01      1.15e-03    1.49e-03      3.57e-02    3.35e-02    7.1e-05
 536000      3.06e-01    2.83e-01      2.51e-03    2.83e-03      3.60e-02    3.33e-02    7.1e-05
 536100      3.06e-01    2.66e-01      3.86e-03    3.92e-03      3.58e-02    3.11e-02    7.1e-05
 536200      3.43e-01    3.13e-01      1.05e-02    9.92e-03      3.86e-02    3.51e-02    7.1e-05
 536300      2.61e-01    2.77e-01      1.82e-03    2.47e-03      3.07e-02    3.26e-02    7.1e-05
 536400      2.51e-01    2.65e-01      1.81e-03    1.51e-03      2.96e-02    3.12e-02    7.1e-05
 536500      2.88e-01    2.89e-01      9.24e-04    1.20e-03      3.40e-02    3.41e-02    7.1e-05
 536600      3.36e-01    3.12e-01      1.65e-03    2.03e-03      3.97e-02    3.68e-02    7.1e-05
 536700      4.34e-01    8.39e-01      5.72e-03    1.51e-02      5.08e-02    9.75e-02    7.1e-05
 536800      4.96e-01    4.47e-01      1.66e-02    2.54e-02      5.25e-02    4.36e-02    7.1e-05
 536900      3.62e-01    6.95e-01      1.78e-02    1.05e-02      3.72e-02    8.12e-02    7.1e-05
 537000      3.03e-01    2.87e-01      5.70e-03    2.58e-03      3.49e-02    3.38e-02    7.1e-05
 537100      2.91e-01    2.99e-01      1.05e-02    7.93e-03      3.19e-02    3.40e-02    7.1e-05
 537200      4.63e-01    4.60e-01      2.11e-02    2.57e-02      4.78e-02    4.53e-02    7.1e-05
 537300      3.59e-01    3.35e-01      7.81e-03    7.55e-03      4.12e-02    3.85e-02    7.1e-05
 537400      3.11e-01    3.44e-01      6.68e-03    7.95e-03      3.58e-02    3.96e-02    7.1e-05
 537500      2.93e-01    3.17e-01      4.30e-04    1.74e-03      3.46e-02    3.74e-02    7.1e-05
 537600      3.08e-01    3.45e-01      1.06e-02    9.94e-03      3.41e-02    3.91e-02    7.1e-05
 537700      3.13e-01    4.00e-01      7.38e-03    9.63e-03      3.57e-02    4.59e-02    7.1e-05
 537800      3.64e-01    3.04e-01      4.34e-03    1.26e-03      4.25e-02    3.58e-02    7.1e-05
 537900      3.35e-01    7.23e-01      6.07e-03    8.41e-03      3.88e-02    8.49e-02    7.1e-05
 538000      3.13e-01    3.42e-01      5.11e-03    5.55e-03      3.64e-02    3.98e-02    7.1e-05
 538100      3.17e-01    3.57e-01      1.42e-02    1.39e-02      3.36e-02    3.88e-02    7.1e-05
 538200      3.14e-01    3.07e-01      9.82e-03    1.03e-02      3.53e-02    3.42e-02    7.1e-05
 538300      5.45e-01    6.51e-01      2.99e-02    1.73e-02      5.36e-02    7.43e-02    7.1e-05
 538400      3.78e-01    3.46e-01      9.37e-03    9.46e-03      4.32e-02    3.93e-02    7.1e-05
 538500      5.35e-01    2.85e+00      1.69e-02    5.10e-02      6.00e-02    3.32e-01    7.1e-05
 538600      3.29e-01    3.59e-01      4.55e-03    2.40e-03      3.84e-02    4.23e-02    7.1e-05
 538700      3.18e-01    3.24e-01      8.96e-03    7.53e-03      3.60e-02    3.73e-02    7.1e-05
 538800      3.19e-01    3.33e-01      7.45e-04    1.93e-03      3.77e-02    3.92e-02    7.1e-05
 538900      3.56e-01    3.10e-01      9.41e-03    7.58e-03      4.06e-02    3.55e-02    7.1e-05
 539000      3.30e-01    3.49e-01      5.08e-03    6.00e-03      3.85e-02    4.06e-02    7.1e-05
 539100      3.42e-01    3.60e-01      1.56e-03    1.97e-03      4.04e-02    4.25e-02    7.1e-05
 539200      3.19e-01    3.25e-01      1.01e-02    3.84e-03      3.56e-02    3.81e-02    7.1e-05
 539300      2.92e-01    3.05e-01      3.07e-03    3.38e-03      3.43e-02    3.58e-02    7.1e-05
 539400      3.18e-01    3.01e-01      6.39e-03    2.42e-03      3.67e-02    3.54e-02    7.1e-05
 539500      3.18e-01    2.89e-01      4.85e-03    4.97e-03      3.71e-02    3.36e-02    7.1e-05
 539600      2.56e-01    2.95e-01      1.33e-03    7.22e-04      3.02e-02    3.48e-02    7.1e-05
 539700      3.38e-01    3.15e-01      3.00e-03    2.06e-03      3.97e-02    3.72e-02    7.1e-05
 539800      2.88e-01    3.05e-01      2.64e-03    3.27e-03      3.39e-02    3.59e-02    7.1e-05
 539900      4.97e-01    4.13e-01      5.89e-03    9.83e-04      5.83e-02    4.88e-02    7.1e-05
 540000      3.53e-01    3.02e-01      1.35e-02    1.17e-02      3.88e-02    3.33e-02    6.9e-05
 540100      3.25e-01    3.06e-01      1.63e-03    1.27e-03      3.88e-02    3.66e-02    6.9e-05
 540200      3.06e-01    2.78e-01      5.06e-03    4.71e-03      3.61e-02    3.28e-02    6.9e-05
 540300      3.43e-01    2.77e-01      2.25e-03    1.56e-03      4.09e-02    3.31e-02    6.9e-05
 540400      2.60e-01    2.88e-01      6.78e-04    1.00e-03      3.10e-02    3.44e-02    6.9e-05
 540500      3.03e-01    2.98e-01      2.94e-03    2.26e-03      3.60e-02    3.56e-02    6.9e-05
 540600      5.89e-01    2.86e-01      2.91e-03    1.55e-03      7.04e-02    3.41e-02    6.9e-05
 540700      2.93e-01    3.05e-01      3.55e-03    1.13e-03      3.48e-02    3.64e-02    6.9e-05
 540800      5.21e-01    5.13e-01      4.00e-02    3.91e-02      4.00e-02    4.00e-02    6.9e-05
 540900      2.81e-01    2.89e-01      4.28e-03    2.97e-03      3.32e-02    3.44e-02    6.9e-05
 541000      2.94e-01    2.82e-01      4.91e-03    2.87e-03      3.46e-02    3.36e-02    6.9e-05
 541100      2.84e-01    2.88e-01      1.44e-03    2.76e-03      3.39e-02    3.43e-02    6.9e-05
 541200      2.99e-01    2.88e-01      1.39e-03    9.34e-04      3.57e-02    3.45e-02    6.9e-05
 541300      3.25e-01    2.82e-01      3.04e-03    4.56e-03      3.87e-02    3.33e-02    6.9e-05
 541400      3.38e-01    2.80e-01      4.72e-03    3.50e-03      4.00e-02    3.32e-02    6.9e-05
 541500      3.12e-01    8.66e-01      1.49e-03    3.26e-03      3.73e-02    1.03e-01    6.9e-05
 541600      3.82e-01    2.93e-01      4.06e-03    1.45e-03      4.53e-02    3.49e-02    6.9e-05
 541700      2.55e-01    9.16e-01      1.22e-03    6.75e-03      3.05e-02    1.09e-01    6.9e-05
 541800      2.91e-01    2.71e-01      5.08e-03    5.90e-03      3.43e-02    3.16e-02    6.9e-05
 541900      2.91e-01    2.87e-01      5.54e-03    5.42e-03      3.41e-02    3.37e-02    6.9e-05
 542000      2.74e-01    5.24e-01      7.28e-04    7.20e-03      3.28e-02    6.21e-02    6.9e-05
 542100      2.98e-01    9.50e-01      7.76e-03    7.43e-03      3.44e-02    1.13e-01    6.9e-05
 542200      3.14e-01    3.20e-01      2.86e-03    2.80e-03      3.74e-02    3.81e-02    6.9e-05
 542300      3.94e-01    3.48e-01      8.83e-03    8.99e-03      4.59e-02    4.02e-02    6.9e-05
 542400      3.34e-01    2.99e-01      5.01e-03    5.15e-03      3.95e-02    3.52e-02    6.9e-05
 542500      2.83e-01    3.08e-01      3.73e-03    5.65e-03      3.35e-02    3.62e-02    6.9e-05
 542600      3.10e-01    3.42e-01      1.56e-02    1.24e-02      3.17e-02    3.83e-02    6.9e-05
 542700      2.75e-01    2.98e-01      2.51e-03    2.78e-03      3.27e-02    3.54e-02    6.9e-05
 542800      7.18e-01    7.12e-01      5.42e-02    5.38e-02      5.66e-02    5.61e-02    6.9e-05
 542900      3.61e-01    4.58e-01      1.10e-02    7.62e-03      4.11e-02    5.40e-02    6.9e-05
 543000      3.57e-01    3.28e-01      2.23e-03    2.46e-03      4.26e-02    3.91e-02    6.9e-05
 543100      3.11e-01    3.27e-01      8.10e-04    8.00e-04      3.72e-02    3.91e-02    6.9e-05
 543200      3.33e-01    3.30e-01      3.84e-03    3.61e-03      3.96e-02    3.93e-02    6.9e-05
 543300      3.33e-01    3.41e-01      1.52e-02    1.51e-02      3.54e-02    3.67e-02    6.9e-05
 543400      2.92e-01    5.27e-01      1.56e-03    7.42e-03      3.49e-02    6.24e-02    6.9e-05
 543500      3.37e-01    2.98e-01      4.88e-03    3.71e-03      3.98e-02    3.54e-02    6.9e-05
 543600      2.91e-01    2.86e-01      5.47e-03    5.09e-03      3.41e-02    3.37e-02    6.9e-05
 543700      2.91e-01    2.81e-01      3.37e-03    2.78e-03      3.46e-02    3.35e-02    6.9e-05
 543800      3.28e-01    3.13e-01      4.93e-03    3.65e-03      3.86e-02    3.72e-02    6.9e-05
 543900      3.67e-01    3.24e-01      4.90e-03    1.72e-03      4.34e-02    3.87e-02    6.9e-05
 544000      3.53e-01    3.27e-01      8.32e-03    8.21e-03      4.11e-02    3.78e-02    6.9e-05
 544100      3.47e-01    2.75e-01      6.83e-04    1.02e-03      4.15e-02    3.28e-02    6.9e-05
 544200      2.51e-01    3.31e-01      3.85e-03    4.81e-03      2.97e-02    3.91e-02    6.9e-05
 544300      2.74e-01    8.66e-01      6.23e-03    5.38e-03      3.19e-02    1.03e-01    6.9e-05
 544400      3.01e-01    2.85e-01      2.15e-03    2.15e-03      3.60e-02    3.40e-02    6.9e-05
 544500      3.04e-01    2.91e-01      1.79e-03    2.76e-03      3.62e-02    3.46e-02    6.9e-05
 544600      2.64e-01    2.78e-01      2.12e-03    2.26e-03      3.15e-02    3.32e-02    6.9e-05
 544700      3.86e-01    2.93e-01      1.95e-03    2.10e-03      4.61e-02    3.50e-02    6.9e-05
 544800      5.19e-01    4.71e-01      2.93e-03    2.35e-03      6.20e-02    5.63e-02    6.9e-05
 544900      3.04e-01    3.20e-01      5.31e-03    6.18e-03      3.57e-02    3.75e-02    6.9e-05
 545000      4.18e-01    8.16e-01      1.93e-02    2.64e-02      4.40e-02    9.33e-02    6.7e-05
 545100      2.93e-01    2.92e-01      2.54e-03    1.38e-03      3.54e-02    3.53e-02    6.7e-05
 545200      3.02e-01    2.87e-01      1.68e-03    1.24e-03      3.65e-02    3.47e-02    6.7e-05
 545300      2.65e-01    4.31e-01      1.73e-03    1.53e-03      3.20e-02    5.21e-02    6.7e-05
 545400      3.04e-01    3.03e-01      8.93e-04    8.70e-04      3.68e-02    3.67e-02    6.7e-05
 545500      3.11e-01    2.79e-01      7.54e-03    6.50e-03      3.65e-02    3.29e-02    6.7e-05
 545600      3.45e-01    3.16e-01      3.58e-03    2.39e-03      4.16e-02    3.81e-02    6.7e-05
 545700      3.22e-01    2.86e-01      3.17e-03    3.72e-03      3.88e-02    3.43e-02    6.7e-05
 545800      3.84e-01    2.84e-01      8.82e-03    5.66e-03      4.52e-02    3.36e-02    6.7e-05
 545900      2.56e-01    3.00e-01      7.30e-03    5.55e-03      2.98e-02    3.57e-02    6.7e-05
 546000      2.59e-01    2.91e-01      2.89e-03    2.19e-03      3.11e-02    3.52e-02    6.7e-05
 546100      2.98e-01    4.87e-01      1.01e-02    4.79e-03      3.36e-02    5.87e-02    6.7e-05
 546200      3.53e-01    3.94e-01      2.01e-02    1.98e-02      3.52e-02    4.14e-02    6.7e-05
 546300      3.33e-01    2.96e-01      5.93e-03    7.80e-03      3.95e-02    3.47e-02    6.7e-05
 546400      2.94e-01    2.84e-01      9.91e-04    8.33e-04      3.56e-02    3.43e-02    6.7e-05
 546500      4.31e-01    3.98e-01      2.95e-02    2.38e-02      3.76e-02    3.87e-02    6.7e-05
 546600      3.10e-01    3.40e-01      1.10e-02    1.59e-02      3.44e-02    3.64e-02    6.7e-05
 546700      3.62e-01    3.31e-01      2.14e-02    1.70e-02      3.56e-02    3.44e-02    6.7e-05
 546800      3.52e-01    3.21e-01      1.56e-02    6.65e-03      3.73e-02    3.80e-02    6.7e-05
 546900      3.47e-01    3.88e-01      1.55e-02    1.57e-02      3.73e-02    4.30e-02    6.7e-05
 547000      3.99e-01    3.09e-01      9.63e-03    6.93e-03      4.69e-02    3.65e-02    6.7e-05
 547100      3.33e-01    7.08e-01      4.48e-03    7.88e-03      3.99e-02    8.51e-02    6.7e-05
 547200      3.07e-01    2.98e-01      8.42e-03    7.86e-03      3.57e-02    3.48e-02    6.7e-05
 547300      3.32e-01    3.14e-01      2.80e-03    1.24e-03      3.99e-02    3.79e-02    6.7e-05
 547400      2.53e-01    2.98e-01      3.96e-03    3.95e-03      3.02e-02    3.58e-02    6.7e-05
 547500      3.37e-01    3.12e-01      1.29e-02    1.08e-02      3.77e-02    3.55e-02    6.7e-05
 547600      2.93e-01    4.49e-01      3.95e-03    3.13e-03      3.49e-02    5.42e-02    6.7e-05
 547700      3.91e-01    1.04e+00      2.30e-02    2.01e-02      3.83e-02    1.23e-01    6.7e-05
 547800      3.97e-01    3.67e-01      1.44e-02    8.28e-03      4.42e-02    4.33e-02    6.7e-05
 547900      4.12e-01    3.39e-01      1.29e-02    1.22e-02      4.72e-02    3.83e-02    6.7e-05
 548000      2.96e-01    3.28e-01      1.09e-03    6.57e-03      3.58e-02    3.89e-02    6.7e-05
 548100      3.55e-01    3.14e-01      7.01e-03    6.32e-03      4.21e-02    3.72e-02    6.7e-05
 548200      6.53e-01    5.15e-01      4.92e-03    6.62e-03      7.86e-02    6.19e-02    6.7e-05
 548300      3.18e-01    4.22e-01      5.80e-03    4.18e-03      3.78e-02    5.08e-02    6.7e-05
 548400      3.21e-01    2.71e-01      2.65e-03    1.70e-03      3.86e-02    3.27e-02    6.7e-05
 548500      2.62e-01    3.31e-01      3.26e-03    4.50e-03      3.15e-02    3.97e-02    6.7e-05
 548600      2.89e-01    3.06e-01      1.86e-03    4.00e-03      3.48e-02    3.67e-02    6.7e-05
 548700      2.99e-01    2.89e-01      1.31e-03    1.28e-03      3.62e-02    3.50e-02    6.7e-05
 548800      2.89e-01    2.78e-01      3.22e-03    3.13e-03      3.47e-02    3.34e-02    6.7e-05
 548900      4.19e-01    2.89e-01      8.74e-03    2.37e-03      4.89e-02    3.48e-02    6.7e-05
 549000      4.91e-01    5.00e-01      3.47e-02    3.49e-02      4.23e-02    4.35e-02    6.7e-05
 549100      3.39e-01    3.29e-01      1.17e-02    1.03e-02      3.86e-02    3.78e-02    6.7e-05
 549200      2.77e-01    3.14e-01      3.75e-03    3.47e-03      3.32e-02    3.78e-02    6.7e-05
 549300      3.24e-01    2.99e-01      5.18e-03    5.49e-03      3.88e-02    3.56e-02    6.7e-05
 549400      2.98e-01    3.08e-01      3.00e-03    3.19e-03      3.59e-02    3.71e-02    6.7e-05
 549500      2.79e-01    2.89e-01      2.36e-03    1.89e-03      3.36e-02    3.49e-02    6.7e-05
 549600      3.23e-01    3.08e-01      2.36e-03    3.87e-03      3.90e-02    3.69e-02    6.7e-05
 549700      3.12e-01    3.04e-01      1.06e-03    4.00e-03      3.77e-02    3.64e-02    6.7e-05
 549800      2.86e-01    3.11e-01      3.94e-03    2.85e-03      3.43e-02    3.76e-02    6.7e-05
 549900      3.01e-01    2.99e-01      1.01e-02    1.04e-02      3.43e-02    3.40e-02    6.7e-05
 550000      3.09e-01    5.67e-01      6.60e-03    6.41e-03      3.70e-02    6.91e-02    6.6e-05
 550100      2.95e-01    2.73e-01      3.73e-03    3.18e-03      3.58e-02    3.33e-02    6.6e-05
 550200      4.97e-01    6.04e+00      4.17e-02    7.19e-02      3.39e-02    7.36e-01    6.6e-05
 550300      2.74e-01    2.96e-01      1.00e-03    1.11e-03      3.36e-02    3.63e-02    6.6e-05
 550400      2.72e-01    2.84e-01      6.29e-03    4.29e-03      3.24e-02    3.44e-02    6.6e-05
