#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      3.63e+00    3.30e+00      3.65e-02    3.71e-02      1.16e-01    1.06e-01    9.8e-04
   6000      2.48e+00    2.32e+00      1.69e-02    1.06e-02      7.94e-02    7.42e-02    9.8e-04
   6100      2.12e+00    1.93e+00      7.61e-03    6.85e-03      6.79e-02    6.19e-02    9.8e-04
   6200      1.74e+00    1.88e+00      2.33e-02    1.98e-02      5.58e-02    6.02e-02    9.8e-04
   6300      2.56e+00    2.58e+00      4.01e-02    3.79e-02      8.20e-02    8.25e-02    9.8e-04
   6400      1.69e+00    1.76e+00      1.58e-02    1.46e-02      5.40e-02    5.64e-02    9.8e-04
   6500      1.67e+00    1.66e+00      5.52e-03    1.28e-02      5.35e-02    5.31e-02    9.8e-04
   6600      1.86e+00    1.66e+00      9.86e-03    7.45e-03      5.94e-02    5.33e-02    9.8e-04
   6700      1.58e+00    1.64e+00      1.88e-02    2.48e-02      5.07e-02    5.26e-02    9.8e-04
   6800      1.59e+00    1.60e+00      4.18e-03    1.79e-03      5.08e-02    5.12e-02    9.8e-04
   6900      3.62e+00    4.13e+00      3.78e-01    3.79e-01      1.13e-01    1.30e-01    9.8e-04
   7000      2.95e+00    2.66e+00      2.71e-02    3.88e-02      9.44e-02    8.52e-02    9.8e-04
   7100      2.74e+00    3.03e+00      1.36e-01    1.38e-01      8.73e-02    9.65e-02    9.8e-04
   7200      2.91e+00    3.92e+00      1.07e-01    1.53e-01      9.28e-02    1.25e-01    9.8e-04
   7300      1.60e+00    3.15e+00      3.03e-02    4.63e-02      5.11e-02    1.01e-01    9.8e-04
   7400      1.88e+00    1.88e+00      3.88e-02    5.08e-02      6.01e-02    6.01e-02    9.8e-04
   7500      2.25e+00    2.41e+00      7.00e-02    4.57e-02      7.17e-02    7.70e-02    9.8e-04
   7600      2.21e+00    2.06e+00      1.00e-01    1.06e-01      7.04e-02    6.56e-02    9.8e-04
   7700      3.41e+00    2.58e+00      3.85e-02    2.75e-02      1.09e-01    8.26e-02    9.8e-04
   7800      2.14e+00    2.21e+00      9.99e-02    9.73e-02      6.82e-02    7.05e-02    9.8e-04
   7900      5.67e+00    6.07e+00      6.76e-01    6.88e-01      1.75e-01    1.88e-01    9.8e-04
   8000      1.81e+00    2.66e+00      1.19e-02    5.33e-02      5.78e-02    8.49e-02    9.8e-04
   8100      3.50e+00    3.28e+00      7.37e-02    7.97e-02      1.12e-01    1.05e-01    9.8e-04
   8200      2.11e+00    2.08e+00      8.07e-02    8.02e-02      6.72e-02    6.63e-02    9.8e-04
   8300      2.32e+00    2.46e+00      9.21e-02    9.16e-02      7.39e-02    7.87e-02    9.8e-04
   8400      2.18e+00    1.94e+00      2.10e-02    4.15e-02      6.98e-02    6.19e-02    9.8e-04
   8500      4.92e+00    7.93e+01      9.65e-01    1.12e+00      1.42e-01    2.54e+00    9.8e-04
   8600      1.62e+00    1.78e+00      2.90e-02    3.10e-02      5.20e-02    5.71e-02    9.8e-04
   8700      1.78e+00    1.66e+00      1.46e-02    1.44e-02      5.69e-02    5.32e-02    9.8e-04
   8800      1.88e+00    1.90e+00      1.08e-01    8.46e-02      5.96e-02    6.04e-02    9.8e-04
   8900      1.86e+00    2.23e+00      7.14e-03    3.45e-02      5.96e-02    7.14e-02    9.8e-04
   9000      2.65e+00    1.56e+00      3.85e-03    2.82e-03      8.50e-02    4.98e-02    9.8e-04
   9100      4.84e+00    3.91e+00      1.23e-01    1.23e-01      1.55e-01    1.25e-01    9.8e-04
   9200      2.19e+00    2.27e+00      1.17e-01    1.28e-01      6.95e-02    7.21e-02    9.8e-04
   9300      2.00e+00    2.09e+00      1.13e-01    1.29e-01      6.35e-02    6.63e-02    9.8e-04
   9400      1.98e+00    1.81e+00      6.17e-04    1.45e-03      6.35e-02    5.79e-02    9.8e-04
   9500      2.88e+00    2.85e+00      8.07e-02    8.47e-02      9.19e-02    9.11e-02    9.8e-04
   9600      1.82e+00    1.69e+00      3.69e-02    3.87e-02      5.81e-02    5.41e-02    9.8e-04
   9700      2.01e+00    1.58e+00      1.05e-02    1.78e-02      6.45e-02    5.05e-02    9.8e-04
   9800      1.57e+00    1.62e+00      6.05e-03    4.30e-03      5.01e-02    5.18e-02    9.8e-04
   9900      3.86e+00    3.66e+00      3.17e-02    2.27e-02      1.23e-01    1.17e-01    9.8e-04
  10000      5.05e+00    4.24e+01      4.87e-01    5.25e-01      1.58e-01    1.37e+00    9.5e-04
  10100      1.59e+00    3.80e+00      7.82e-02    5.24e-02      5.11e-02    1.23e-01    9.5e-04
  10200      9.73e+00    8.60e+00      6.56e-01    7.06e-01      3.10e-01    2.72e-01    9.5e-04
  10300      2.31e+00    2.34e+00      1.87e-01    8.47e-02      7.29e-02    7.54e-02    9.5e-04
  10400      1.80e+00    1.79e+00      1.55e-02    1.27e-02      5.82e-02    5.79e-02    9.5e-04
  10500      5.09e+00    7.89e+00      5.11e-02    9.38e-02      1.65e-01    2.56e-01    9.5e-04
  10600      2.88e+00    3.10e+00      7.73e-02    5.70e-02      9.30e-02    1.01e-01    9.5e-04
  10700      2.18e+00    2.10e+00      5.16e-02    4.06e-02      7.04e-02    6.81e-02    9.5e-04
  10800      1.88e+00    2.02e+00      6.04e-03    6.31e-03      6.09e-02    6.54e-02    9.5e-04
  10900      2.07e+00    2.05e+00      1.23e-01    1.26e-01      6.62e-02    6.56e-02    9.5e-04
  11000      1.68e+00    1.64e+00      2.19e-02    2.72e-02      5.44e-02    5.31e-02    9.5e-04
  11100      2.37e+00    1.56e+00      5.72e-02    3.50e-02      7.67e-02    5.06e-02    9.5e-04
  11200      2.04e+00    2.03e+00      1.87e-01    1.47e-01      6.40e-02    6.46e-02    9.5e-04
  11300      1.45e+00    1.54e+00      4.99e-02    5.12e-02      4.67e-02    4.96e-02    9.5e-04
  11400      4.74e+00    4.89e+00      8.05e-02    6.76e-02      1.53e-01    1.58e-01    9.5e-04
  11500      2.34e+00    2.19e+00      5.99e-02    5.84e-02      7.56e-02    7.08e-02    9.5e-04
  11600      3.03e+00    2.28e+00      1.34e-01    7.42e-02      9.72e-02    7.36e-02    9.5e-04
  11700      2.04e+00    2.81e+00      1.31e-01    1.36e-01      6.49e-02    9.02e-02    9.5e-04
  11800      1.84e+00    1.87e+00      4.27e-02    3.68e-02      5.96e-02    6.05e-02    9.5e-04
  11900      1.60e+00    1.74e+00      5.81e-02    5.00e-02      5.15e-02    5.61e-02    9.5e-04
  12000      2.53e+00    1.85e+00      2.92e-01    2.25e-01      7.79e-02    5.69e-02    9.5e-04
  12100      1.79e+00    3.49e+00      6.43e-02    1.59e-01      5.79e-02    1.12e-01    9.5e-04
  12200      3.43e+00    3.23e+00      1.09e-01    1.04e-01      1.11e-01    1.04e-01    9.5e-04
  12300      1.54e+00    4.20e+00      3.31e-02    2.17e-01      4.97e-02    1.35e-01    9.5e-04
  12400      2.07e+00    2.59e+00      1.05e-01    7.93e-02      6.65e-02    8.37e-02    9.5e-04
  12500      2.62e+00    1.69e+00      2.31e-01    2.27e-02      8.24e-02    5.48e-02    9.5e-04
  12600      1.91e+00    2.06e+00      8.11e-02    3.13e-02      6.12e-02    6.67e-02    9.5e-04
  12700      7.16e+00    8.47e+00      2.82e-01    4.53e-01      2.31e-01    2.72e-01    9.5e-04
  12800      7.48e+00    6.61e+00      2.14e-01    1.61e-01      2.42e-01    2.14e-01    9.5e-04
  12900      2.71e+00    2.51e+00      7.48e-02    1.36e-02      8.73e-02    8.15e-02    9.5e-04
  13000      3.18e+00    3.21e+00      1.08e-01    3.85e-02      1.02e-01    1.04e-01    9.5e-04
  13100      2.67e+00    2.18e+00      6.40e-02    1.75e-02      8.61e-02    7.08e-02    9.5e-04
  13200      2.21e+00    3.16e+00      6.13e-02    7.42e-02      7.13e-02    1.02e-01    9.5e-04
  13300      2.01e+00    2.06e+00      1.29e-01    6.83e-02      6.38e-02    6.65e-02    9.5e-04
  13400      1.81e+00    1.70e+00      3.81e-02    3.73e-02      5.87e-02    5.51e-02    9.5e-04
  13500      1.81e+00    2.34e+00      6.01e-02    6.12e-02      5.85e-02    7.56e-02    9.5e-04
  13600      1.85e+00    1.67e+00      1.02e-01    4.25e-02      5.89e-02    5.39e-02    9.5e-04
  13700      1.62e+00    1.85e+00      8.79e-02    5.42e-02      5.14e-02    5.97e-02    9.5e-04
  13800      1.65e+00    1.85e+00      2.80e-02    3.09e-02      5.34e-02    5.98e-02    9.5e-04
  13900      1.67e+00    1.61e+00      5.87e-02    3.58e-02      5.39e-02    5.21e-02    9.5e-04
  14000      2.42e+00    1.83e+00      4.51e-02    9.58e-02      7.83e-02    5.86e-02    9.5e-04
  14100      1.59e+00    1.67e+00      6.47e-02    6.31e-02      5.12e-02    5.39e-02    9.5e-04
  14200      1.57e+00    1.52e+00      3.88e-02    1.54e-02      5.06e-02    4.94e-02    9.5e-04
  14300      4.33e+00    4.57e+00      6.97e-02    7.70e-02      1.40e-01    1.48e-01    9.5e-04
  14400      2.22e+00    2.41e+00      7.16e-02    6.88e-02      7.16e-02    7.80e-02    9.5e-04
  14500      1.80e+00    3.29e+00      3.46e-02    1.31e-01      5.82e-02    1.06e-01    9.5e-04
  14600      3.03e+00    4.19e+00      4.65e-02    9.82e-02      9.81e-02    1.36e-01    9.5e-04
  14700      6.23e+00    5.67e+00      1.63e-02    1.93e-02      2.02e-01    1.84e-01    9.5e-04
  14800      2.02e+00    2.32e+00      5.16e-03    6.03e-03      6.54e-02    7.53e-02    9.5e-04
  14900      2.49e+01    1.96e+00      1.91e-01    6.56e-02      8.06e-01    6.34e-02    9.5e-04
  15000      3.13e+00    3.49e+00      3.68e-01    2.02e-01      9.55e-02    1.13e-01    9.3e-04
  15100      2.38e+00    1.49e+01      2.11e-01    3.24e-01      7.49e-02    4.87e-01    9.3e-04
  15200      5.34e+00    4.95e+00      1.89e-01    1.54e-01      1.74e-01    1.62e-01    9.3e-04
  15300      1.93e+00    2.09e+00      2.33e-02    2.29e-02      6.33e-02    6.86e-02    9.3e-04
  15400      3.62e+00    3.75e+00      2.37e-01    2.38e-01      1.16e-01    1.21e-01    9.3e-04
  15500      2.53e+00    2.53e+00      1.26e-01    6.62e-02      8.17e-02    8.28e-02    9.3e-04
  15600      4.65e+00    3.12e+00      3.23e-01    1.69e-01      1.48e-01    1.01e-01    9.3e-04
  15700      1.61e+00    1.82e+00      2.27e-02    2.33e-02      5.27e-02    5.96e-02    9.3e-04
  15800      1.72e+00    2.03e+00      5.55e-02    7.60e-02      5.60e-02    6.63e-02    9.3e-04
  15900      2.04e+00    2.11e+00      5.87e-02    5.69e-03      6.64e-02    6.91e-02    9.3e-04
  16000      1.50e+00    1.66e+00      8.65e-03    9.25e-03      4.93e-02    5.43e-02    9.3e-04
  16100      1.48e+00    1.61e+00      1.39e-02    1.35e-02      4.84e-02    5.28e-02    9.3e-04
  16200      1.42e+00    1.50e+00      5.63e-02    7.84e-02      4.60e-02    4.86e-02    9.3e-04
  16300      1.83e+00    1.77e+00      6.82e-02    7.06e-02      5.95e-02    5.77e-02    9.3e-04
